image,rnn_caption,lstm_caption,ground_truth,rnn_bleu4,lstm_bleu4,avg_bleu4
2135502491_a15c6b5eae.jpg,a brown and white dog runs through a field,a dog is running through the snow,A beautiful brown and white St Bernard running in the snow | A St Bernard lunges through the snow . | Large St Bernard dog wearing red collar galloping through the snow . | St Bernard dog running in the snowy field . | The large brown and white dog is running through the snow .,0.34329452398451965,0.8408964152537146,0.5920954696191172
2056930414_d2b0f1395a.jpg,a young boy in a blue shirt is playing with a toy,a little boy is playing with a toy car,A child plays a red toy guitar and sings into multicolored plastic microphone . | A little boy is playing with a toy guitar and microphone . | A little boy plays a toy guitar while singing into a toy microphone . | A little boy with toy microphone and guitar pretends to play music . | The child has a small red guitar and toy microphone .,0.35655062085592504,0.7725505949016372,0.5645506078787812
2260560631_09093be4c6.jpg,a dog is jumping over a low cut <unk>,a dog is running through a grassy area,A dirty dogs runs through the woods . | A dog carries a stick through the woods . | A dog jumping over a stick in the yard . | A dog jumps over a stick in a forest . | The furry dog is running through a grassy wooded area .,0.20435062756586872,0.7652058832556895,0.4847782554107791
1267711451_e2a754b4f8.jpg,a black and white dog jumping over a hurdle,a black and white dog is running through a grassy field,A black and white dog carrying a large stick | A black and white dog is carrying a stick in its mouth . | a black and white dog walking through the grass with a long stick in his mouth . | a dog holds a stick in its mouth . | A dog trots across the ground with a large stick in his mouth .,0.4671379777282001,0.45305163015763106,0.4600948039429156
1446933195_8fe9725d62.jpg,a dog is running through a grassy field,a dog is running through a grassy area,A black puppy is biting a tree limb . | A brown puppy chewing on a tree branch . | A puppy dog is playing with a branch . | A puppy is gnawing on a plant branch in an uncut grassy area with wood and a barrel nearby . | A young brown puppy pulls a leafy branch in his teeth in a backyard .,0.089563496460826,0.11147663481766389,0.10052006563924494
1897025969_0c41688fa6.jpg,a black dog is running through a grassy field,two black dogs are playing with a toy,"A black dog and a tan dog fighting . | A black dog and a white dog are wrestling on the ground . | A black dog bites a white dog while standing on the sand . | two dogs fight . | Two dogs , one white and one black , play with each other in the sand .",0.15527289920984508,0.044760819815797624,0.10001685951282135
124972799_de706b6d0b.jpg,a dog is running through a grassy field,a dog is playing with a ball,A cat under the bench hissing with a dog growling and trying to get it . | A dog toys with a cat hiding under a bench . | A snarling brown and black dog corners a brown long-haired cat under a wooden bench . | A snarling dog approaches a hissing cat . | Black and brown dog growling at brown cat hiding under wooden bench .,0.07882588442342651,0.1158794880657409,0.09735268624458371
2295750198_6d152d7ceb.jpg,a young girl in a pink bathing suit is jumping into a swimming pool,a boy in a blue shirt is running through the water,A girl is standing on one leg in the middle of the field . | A girl with her leg out on a lawn . | a little girl kicks into the air . | A warmly dressed girl kicks up her leg outdoors . | Person walking in the field .,0.027522672641022667,0.03229693932231752,0.02990980598167009
2286823363_7d554ea740.jpg,a boy in a blue shirt is jumping on a trampoline,a boy in a blue shirt is standing in front of a large tree,A little boy jumping from one chair to another . | A young boy jumps from one black chair to another . | A young boy is leaping from one chair to another . | A young boy jumping from one chair to another in his house | A young boy leaps from chair to chair .,0.03229693932231752,0.024869542143125947,0.028583240732721733
225699652_53f6fb33cd.jpg,a man is standing on a boat overlooking a lake,a man is climbing a large rock while another man watches,Two dolphins flying headfirst into a beautiful tropical blue lake | Two dolphins jumped out of the water in this zoo . | Two dolphins jumping into the water . | Two dolphins jump out of the blue water with palm trees behind them . | Two dolphins jump out of the water together .,0.027895820162122397,0.021598265052211615,0.024747042607167008
