model_type,name,num_layers,hidden_size,epochs_ran,train_time_sec,best_val_loss,final_train_loss,final_val_loss,BLEU_4,METEOR,eval_time_sec,num_images,model_path
RNN,rnn_2layer_512hidden,2,512,10,1058.7677042484283,3.7862868309021,3.261502981185913,3.8139710426330566,0.0923603381623297,0.2398705402716833,593.8506479263306,1000,C:\Users\Anella Utari\Documents\GitHub\Tubes2_IF3270_Kelompok9\src\rnn&lstm\rnn\artifacts_rnn\models\rnn_2layer_512hidden.keras
RNN,rnn_1layer_512hidden,1,512,10,773.8312432765961,3.739909410476685,3.063419342041016,3.817938327789306,0.0902539561655992,0.2423392692718134,580.4250402450562,1000,C:\Users\Anella Utari\Documents\GitHub\Tubes2_IF3270_Kelompok9\src\rnn&lstm\rnn\artifacts_rnn\models\rnn_1layer_512hidden.keras
RNN,rnn_3layer_512hidden,3,512,10,1211.2018394470217,3.89238166809082,3.7031712532043457,3.89238166809082,0.0892833453809479,0.2287232860627789,622.9289054870605,1000,C:\Users\Anella Utari\Documents\GitHub\Tubes2_IF3270_Kelompok9\src\rnn&lstm\rnn\artifacts_rnn\models\rnn_3layer_512hidden.keras
RNN,rnn_3layer_128hidden,3,128,10,430.70021319389343,3.785029649734497,3.519522428512573,3.785029649734497,0.0845390372244124,0.2216045632771669,557.2446935176849,1000,C:\Users\Anella Utari\Documents\GitHub\Tubes2_IF3270_Kelompok9\src\rnn&lstm\rnn\artifacts_rnn\models\rnn_3layer_128hidden.keras
RNN,rnn_2layer_128hidden,2,128,10,432.7892301082611,3.7699925899505615,3.499445915222168,3.7699925899505615,0.0718644471768065,0.2253020484673953,671.4424757957458,1000,C:\Users\Anella Utari\Documents\GitHub\Tubes2_IF3270_Kelompok9\src\rnn&lstm\rnn\artifacts_rnn\models\rnn_2layer_128hidden.keras
RNN,rnn_1layer_128hidden,1,128,10,307.8537690639496,3.756856679916382,3.5006418228149414,3.756856679916382,0.0594244367739514,0.2146301557718012,783.7812271118164,1000,C:\Users\Anella Utari\Documents\GitHub\Tubes2_IF3270_Kelompok9\src\rnn&lstm\rnn\artifacts_rnn\models\rnn_1layer_128hidden.keras
LSTM,lstm_1layer_512hidden,1,512,10,1007.3892207145692,3.5846195220947266,2.942244052886963,3.6075844764709473,0.0947844077004586,0.2601347437579588,659.352897644043,1000,C:\Users\Anella Utari\Documents\GitHub\Tubes2_IF3270_Kelompok9\src\rnn&lstm\lstm\artifacts_lstm\models\lstm_1layer_512hidden.keras
LSTM,lstm_2layer_512hidden,2,512,10,1585.220220565796,3.6095731258392334,3.0493288040161133,3.6187164783477774,0.0902141119708329,0.2524568584760387,699.7785151004791,1000,C:\Users\Anella Utari\Documents\GitHub\Tubes2_IF3270_Kelompok9\src\rnn&lstm\lstm\artifacts_lstm\models\lstm_2layer_512hidden.keras
LSTM,lstm_3layer_128hidden,3,128,10,421.7777910232544,3.9234015941619873,3.857534170150757,3.9234015941619873,0.0823677369761394,0.2030092451410279,543.0661072731018,1000,C:\Users\Anella Utari\Documents\GitHub\Tubes2_IF3270_Kelompok9\src\rnn&lstm\lstm\artifacts_lstm\models\lstm_3layer_128hidden.keras
LSTM,lstm_3layer_512hidden,3,512,10,2097.321773767472,3.6950199604034415,3.283759593963623,3.6950199604034415,0.0760176727171343,0.2329272624372831,763.3041212558746,1000,C:\Users\Anella Utari\Documents\GitHub\Tubes2_IF3270_Kelompok9\src\rnn&lstm\lstm\artifacts_lstm\models\lstm_3layer_512hidden.keras
LSTM,lstm_1layer_128hidden,1,128,10,271.55317878723145,3.704482316970825,3.5013504028320312,3.704482316970825,0.0678320552949751,0.2231031095186069,653.1273014545441,1000,C:\Users\Anella Utari\Documents\GitHub\Tubes2_IF3270_Kelompok9\src\rnn&lstm\lstm\artifacts_lstm\models\lstm_1layer_128hidden.keras
LSTM,lstm_2layer_128hidden,2,128,10,337.49317812919617,3.73677110671997,3.6091697216033936,3.73677110671997,0.0644903126091422,0.2235953446979992,641.4954142570496,1000,C:\Users\Anella Utari\Documents\GitHub\Tubes2_IF3270_Kelompok9\src\rnn&lstm\lstm\artifacts_lstm\models\lstm_2layer_128hidden.keras
