image,pred_caption_lstm,ground_truth,sentence_bleu4
2135502491_a15c6b5eae.jpg,a dog is running through the snow,A beautiful brown and white St Bernard running in the snow | A St Bernard lunges through the snow . | Large St Bernard dog wearing red collar galloping through the snow . | St Bernard dog running in the snowy field . | The large brown and white dog is running through the snow .,0.8408964152537146
2056930414_d2b0f1395a.jpg,a little boy is playing with a toy car,A child plays a red toy guitar and sings into multicolored plastic microphone . | A little boy is playing with a toy guitar and microphone . | A little boy plays a toy guitar while singing into a toy microphone . | A little boy with toy microphone and guitar pretends to play music . | The child has a small red guitar and toy microphone .,0.7725505949016372
2260560631_09093be4c6.jpg,a dog is running through a grassy area,A dirty dogs runs through the woods . | A dog carries a stick through the woods . | A dog jumping over a stick in the yard . | A dog jumps over a stick in a forest . | The furry dog is running through a grassy wooded area .,0.7652058832556895
2309327462_82a24538d4.jpg,two dogs are playing in a grassy area,a dog chases another dog . | The white and brown dog is shaking its ears . | Two dogs are playing in a fenced in area of gravel . | Two dogs run in a gravel lot with a fence in the foreground . | Two dogs walk over the gravel yard inside a gated area .,0.6240195441936914
2201951969_0d7520d648.jpg,a man in a black wetsuit is surfing on a surfboard,a female surfer | A woman in a wetsuit aids a fish in need of attention . | A woman in a wetsuit in surfing in the ocean . | A young woman wearing a wetsuit is in the ocean . | The surfer is wearing a black body suit while picking up her board .,0.09661156602817902
1236951314_0308dc4138.jpg,a man in a blue wetsuit is surfing on a surfboard,A boy in a wetsuit jumps into a pool with a bald man . | A boy with goggles jumping into a pool containing a man . | A child is jumping into a pool while a man is watching the child | A swimming person is watching a child jump into a pool with blue water . | A young boy jumps in a swimming pool towards a bald man in the water .,0.09661156602817902
186890605_ddff5b694e.jpg,a person is jumping off a cliff,A guy in swimming trunks flying on a rope swing above a lake . | A man is rope-swinging off a tree into a lake . | A man is swinging on a rope swing into a lake . | A person uses a rope swing over the water . | There is a man swinging off a rope swing into a lake .,0.09207673976233019
2220175999_081aa9cce8.jpg,a dog is running through the water,Two big dogs wade in the ocean | Two dogs are wading in a river . | Two dogs play in the water . | Two dogs wade in the water . | Two dogs walk in a body of water .,0.09068059995923879
1475046848_831245fc64.jpg,a boy in a blue bathing suit is jumping into a pool,A blonde woman in blue shorts walks on the beach carrying her shoes . | A woman in blue shorts is carrying her shoes whilst walking on the beach next to the ocean . | Blond woman with blue shorts walks along beach carrying shoes in one hand . | Woman carrying her shoes on a beach . | Woman in blue shorts walking barefoot on the beach,0.026081330518169535
2286823363_7d554ea740.jpg,a boy in a blue shirt is standing in front of a large tree,A little boy jumping from one chair to another . | A young boy jumps from one black chair to another . | A young boy is leaping from one chair to another . | A young boy jumping from one chair to another in his house | A young boy leaps from chair to chair .,0.024869542143125947
